City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Grand Island,US,2021-07-23 14:32:27,40.925,-98.342,78.75,61,1,5.99
99,Bull Savanna,JM,2021-07-23 14:33:16,17.8868,-77.5902,85.32,54,60,8.7
100,Poya,NC,2021-07-23 14:33:16,-21.35,165.15,69.67,84,90,3.33
101,Maniitsoq,GL,2021-07-23 14:33:16,65.4167,-52.9,40.98,92,100,16.02
102,Urumqi,CN,2021-07-23 14:30:22,43.801,87.6005,85.15,27,0,4.47
103,Daugai,LT,2021-07-23 14:33:17,54.3667,24.3333,78.03,56,80,9.01
104,Codrington,AU,2021-07-23 14:27:38,-38.2667,141.9667,46.8,88,85,15.26
105,Ghanzi,BW,2021-07-23 14:33:17,-21.5667,21.7833,63.21,11,0,9.42
106,Greer,US,2021-07-23 14:33:17,34.9387,-82.2271,82.6,74,90,1.01
107,Dikson,RU,2021-07-23 14:30:14,73.5069,80.5464,43.86,70,10,11.3
108,Kroya,ID,2021-07-23 14:33:18,-7.6331,109.2461,77.83,84,84,9.84
109,Cabo San Lucas,MX,2021-07-23 14:27:28,22.8909,-109.9124,84.81,68,1,7.27
110,Sitka,US,2021-07-23 14:29:59,57.0531,-135.33,55.29,88,90,5.75
111,Polunochnoye,RU,2021-07-23 14:33:18,60.8697,60.4153,60.12,62,86,3.58
112,Yellowknife,CA,2021-07-23 14:29:38,62.456,-114.3525,59.56,100,90,5.75
113,Souillac,MU,2021-07-23 14:26:31,-20.5167,57.5167,72.36,68,40,9.22
114,Kalabo,ZM,2021-07-23 14:33:18,-14.97,22.6814,81.75,9,89,6.85
115,Tautira,PF,2021-07-23 14:33:19,-17.7333,-149.15,71.62,69,5,12.75
116,Barrow,US,2021-07-23 14:29:44,71.2906,-156.7887,35.62,93,90,16.11
117,Laguna,US,2021-07-23 14:33:19,38.421,-121.4238,77.94,76,1,1.01
118,Asfi,MA,2021-07-23 14:33:19,32.2994,-9.2372,79.25,60,4,28.36
119,Pacific Grove,US,2021-07-23 14:29:23,36.6177,-121.9166,56.25,89,17,3.0
120,Shieli,KZ,2021-07-23 14:33:19,44.1667,66.75,91.02,20,0,9.1
121,Georgetown,MY,2021-07-23 14:28:15,5.4112,100.3354,85.95,75,20,0.0
122,Kodiak,US,2021-07-23 14:26:24,57.79,-152.4072,51.85,96,100,17.29
123,San Cristobal,VE,2021-07-23 14:31:42,7.7669,-72.225,77.18,80,97,6.38
124,Saint-Augustin,CA,2021-07-23 14:31:52,51.226,-58.6502,49.44,89,100,14.94
125,Deblin,PL,2021-07-23 14:33:20,51.5591,21.8483,78.22,38,32,8.34
126,Marsh Harbour,BS,2021-07-23 14:33:20,26.5412,-77.0636,83.53,70,100,8.59
127,Sellye,SK,2021-07-23 14:33:20,48.1513,17.8806,84.11,28,10,4.63
128,Onalaska,US,2021-07-23 14:29:13,43.8844,-91.2351,81.7,78,1,9.22
129,Sola,VU,2021-07-23 14:29:50,-13.8833,167.55,80.22,79,90,15.79
130,Prince George,CA,2021-07-23 14:33:21,53.9166,-122.753,46.26,94,90,6.91
131,Lebu,CL,2021-07-23 14:29:54,-37.6167,-73.65,51.84,85,100,14.23
132,Sao Joao Da Barra,BR,2021-07-23 14:29:50,-21.6403,-41.0511,77.09,62,85,5.59
133,Port Lincoln,AU,2021-07-23 14:26:32,-34.7333,135.8667,54.72,72,50,26.33
134,Conceicao Do Mato Dentro,BR,2021-07-23 14:33:21,-19.0372,-43.425,71.92,42,66,8.41
135,Serenje,ZM,2021-07-23 14:33:22,-13.2325,30.2352,66.38,46,99,6.69
136,Comodoro Rivadavia,AR,2021-07-23 14:31:46,-45.8667,-67.5,46.26,46,0,25.32
137,Salym,RU,2021-07-23 14:33:22,60.0625,71.4789,67.77,94,61,4.25
138,Tuatapere,NZ,2021-07-23 14:30:44,-46.1333,167.6833,46.81,91,88,6.2
139,Vao,NC,2021-07-23 14:33:22,-22.6667,167.4833,69.91,77,100,10.07
140,Constitucion,CL,2021-07-23 14:31:33,-35.3333,-72.4167,57.97,60,100,5.97
141,Hobyo,SO,2021-07-23 14:33:23,5.3505,48.5268,78.51,76,100,31.52
142,Wladyslawowo,PL,2021-07-23 14:33:23,54.7909,18.4009,80.94,66,7,13.78
143,Savalou,BJ,2021-07-23 14:33:23,7.9281,1.9756,82.58,63,99,6.96
144,Cherskiy,RU,2021-07-23 14:30:11,68.75,161.3,38.39,90,0,7.11
145,Orlik,RU,2021-07-23 14:33:23,52.5178,99.825,57.52,72,100,3.8
