City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
125,Fairbanks,64.8378,-147.7164,62.22,79,75,0.0,US,2021-07-27 17:50:12,Clouds
126,Lavrentiya,65.5833,-171.0,43.79,99,100,8.95,RU,2021-07-27 17:50:13,Rain
127,Sarkand,45.41,79.9186,64.54,57,7,0.78,KZ,2021-07-27 17:50:13,Clear
128,Souillac,-20.5167,57.5167,66.58,94,75,14.97,MU,2021-07-27 17:50:13,Rain
129,Hervey Bay,-25.2986,152.8535,58.03,70,31,5.44,AU,2021-07-27 17:50:13,Clouds
130,Pita,10.8333,-12.5833,79.36,90,71,2.73,GN,2021-07-27 17:50:14,Rain
131,Jiupu,41.0667,122.95,74.03,81,39,0.83,CN,2021-07-27 17:50:14,Rain
132,Tombouctou,20.0,-3.0,106.41,14,77,15.05,ML,2021-07-27 17:50:14,Clouds
133,Puerto Penasco,31.3167,-113.5333,89.91,69,59,5.01,MX,2021-07-27 17:46:15,Clouds
134,Vaini,-21.2,-175.2,66.36,94,75,4.61,TO,2021-07-27 17:50:15,Clouds
135,Torbay,47.6666,-52.7314,67.75,93,90,12.66,CA,2021-07-27 17:50:15,Rain
136,Norman Wells,65.282,-126.8329,57.24,77,75,2.3,CA,2021-07-27 17:50:15,Rain
137,Hobart,-42.8794,147.3294,58.26,64,90,5.01,AU,2021-07-27 17:50:15,Clouds
138,Impfondo,1.6381,18.0667,81.77,41,66,2.37,CG,2021-07-27 17:50:16,Clouds
139,Tambacounda,13.7539,-13.7586,95.05,55,40,10.36,SN,2021-07-27 17:50:16,Clouds
140,Sao Miguel Do Araguaia,-13.275,-50.1628,94.39,16,0,4.47,BR,2021-07-27 17:50:16,Clear
141,Baculin,7.4525,126.5842,81.23,74,98,8.99,PH,2021-07-27 17:50:17,Clouds
142,Ribeira Grande,38.5167,-28.7,79.2,69,40,13.8,PT,2021-07-27 17:50:17,Clouds
143,Haines Junction,60.7522,-137.5108,51.75,87,94,1.14,CA,2021-07-27 17:50:17,Clouds
144,Disraeli,45.9001,-71.3491,69.28,62,83,5.01,CA,2021-07-27 17:45:21,Clouds
145,Sambava,-14.2667,50.1667,69.98,78,44,12.55,MG,2021-07-27 17:50:18,Clouds
146,Kaliua,-5.0606,31.7936,69.33,36,6,5.23,TZ,2021-07-27 17:50:18,Clear
147,Roebourne,-20.7833,117.1333,70.63,81,12,8.34,AU,2021-07-27 17:50:18,Clouds
148,Opuwo,-18.0607,13.84,64.85,25,0,8.57,NA,2021-07-27 17:50:18,Clear
149,Castro,-24.7911,-50.0119,62.58,74,75,8.25,BR,2021-07-27 17:50:19,Clouds
150,East London,-33.0153,27.9116,70.74,24,0,1.14,ZA,2021-07-27 17:50:19,Clear
151,Christchurch,-43.5333,172.6333,37.99,84,17,2.3,NZ,2021-07-27 17:47:18,Clouds
152,Piranshahr,36.701,45.1413,78.98,24,7,6.67,IR,2021-07-27 17:50:19,Clear
153,Torbat-E Jam,35.244,60.6225,83.34,17,0,26.6,IR,2021-07-27 17:50:20,Clear
154,Gweru,-19.45,29.8167,50.83,50,0,6.46,ZW,2021-07-27 17:50:20,Clear
155,Nechi,8.0942,-74.7757,80.8,73,100,3.76,CO,2021-07-27 17:50:20,Clouds
156,Kieta,-6.2167,155.6333,77.97,85,69,2.66,PG,2021-07-27 17:50:20,Rain
157,Lazaro Cardenas,17.9583,-102.2,86.74,67,65,6.02,MX,2021-07-27 17:50:21,Clouds
158,Iqaluit,63.7506,-68.5145,55.13,54,75,10.36,CA,2021-07-27 17:50:21,Clouds
159,Bisalpur,28.3,79.8,83.37,82,94,7.74,IN,2021-07-27 17:50:21,Rain
160,Byron Bay,-28.65,153.6167,55.35,90,2,11.07,AU,2021-07-27 17:45:23,Clear
161,Milkovo,54.7167,158.6167,59.94,86,100,5.75,RU,2021-07-27 17:50:22,Clouds
162,Manono,-7.3,27.4167,76.3,32,19,7.85,CD,2021-07-27 17:50:22,Clouds
163,Laredo,27.5064,-99.5075,95.0,55,1,5.75,US,2021-07-27 17:48:51,Clear
164,Usinsk,65.9939,57.5281,44.17,95,88,9.78,RU,2021-07-27 17:50:22,Clouds
165,Samarai,-10.6167,150.6667,78.57,84,83,11.54,PG,2021-07-27 17:50:23,Clouds
166,Hermanus,-34.4187,19.2345,55.8,88,53,20.74,ZA,2021-07-27 17:50:23,Rain
167,Appleton,44.2619,-88.4154,84.4,61,28,5.01,US,2021-07-27 17:50:13,Clouds
168,Lorengau,-2.0226,147.2712,81.14,78,28,7.29,PG,2021-07-27 17:50:23,Clouds
169,Tilichiki,60.4667,166.1,48.79,90,100,8.1,RU,2021-07-27 17:50:24,Clouds
170,Ahipara,-35.1667,173.1667,54.59,82,20,8.3,NZ,2021-07-27 17:50:24,Clouds
171,Panguna,-6.3164,155.4848,68.05,95,66,1.57,PG,2021-07-27 17:50:24,Rain
172,Saskylakh,71.9167,114.0833,53.71,70,24,14.25,RU,2021-07-27 17:49:08,Clouds
173,Suifenhe,44.4,131.1667,71.01,81,88,1.81,CN,2021-07-27 17:50:25,Clouds
174,Olafsvik,64.8945,-23.7142,52.47,79,76,16.84,IS,2021-07-27 17:50:25,Rain
175,Severo-Kurilsk,50.6789,156.125,57.0,97,100,9.06,RU,2021-07-27 17:50:25,Clouds
176,Kavieng,-2.5744,150.7967,82.76,74,41,12.41,PG,2021-07-27 17:50:25,Clouds
177,Owensboro,37.7742,-87.1133,90.16,55,1,5.75,US,2021-07-27 17:50:26,Clear
178,Moss Vale,-34.55,150.3833,48.43,63,94,7.54,AU,2021-07-27 17:50:26,Clouds
179,Bend,44.0582,-121.3153,69.6,56,40,0.0,US,2021-07-27 17:40:14,Drizzle
180,Krasnogorskoye,52.2953,86.1979,54.07,88,23,2.21,RU,2021-07-27 17:45:56,Clouds
181,Yanliang,34.6592,109.2292,76.19,51,99,4.03,CN,2021-07-27 17:50:26,Rain
182,Kapit,2.0167,112.9333,73.51,98,73,0.92,MY,2021-07-27 17:50:27,Clouds
183,Salalah,17.0151,54.0924,78.19,87,99,11.45,OM,2021-07-27 17:50:27,Clouds
184,Coihaique,-45.5752,-72.0662,46.35,53,0,0.0,CL,2021-07-27 17:50:27,Clear
185,Yellowknife,62.456,-114.3525,56.32,62,75,4.0,CA,2021-07-27 17:50:27,Clouds
186,Abnub,27.2696,31.1511,93.42,17,1,9.17,EG,2021-07-27 17:50:28,Clear
