City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Trairi,BR,84.74,Clouds,-3.2778,-39.2689,janelas do mar
111,Pirapora,BR,86.47,Clear,-17.345,-44.9419,Santos Palace Hotel
114,Jamestown,US,85.3,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
115,Oussouye,SN,89.78,Clouds,12.485,-16.5469,Auberge du Routard
119,Owando,CG,83.21,Clouds,-0.4819,15.8999,Exaunel Hotel Owando
122,Kulhudhuffushi,MV,82.58,Clouds,6.6221,73.07,Hondaafushi Island Resort
123,Ahuimanu,US,78.85,Clouds,21.4447,-157.8378,Paradise Bay Resort
133,Puerto Penasco,MX,89.91,Clouds,31.3167,-113.5333,Playa Bonita Resort
138,Impfondo,CG,81.77,Clouds,1.6381,18.0667,Auberge La Place de Jules
141,Baculin,PH,81.23,Clouds,7.4525,126.5842,Shovy's Cove
142,Ribeira Grande,PT,79.2,Clouds,38.5167,-28.7,Quinta da Meia Eira
152,Piranshahr,IR,78.98,Clear,36.701,45.1413,مسافر خانه سعدی
153,Torbat-E Jam,IR,83.34,Clear,35.244,60.6225,White building
155,Nechi,CO,80.8,Clouds,8.0942,-74.7757,Ivan Villadiego guerra
156,Kieta,PG,77.97,Rain,-6.2167,155.6333,Uruna Bay Retreat
157,Lazaro Cardenas,MX,86.74,Clouds,17.9583,-102.2,quinta antigua
159,Bisalpur,IN,83.37,Rain,28.3,79.8,Haseen warsi
162,Manono,CD,76.3,Clouds,-7.3,27.4167,Hotel hewa bora
165,Samarai,PG,78.57,Clouds,-10.6167,150.6667,Nuli Sapi
167,Appleton,US,84.4,Clouds,44.2619,-88.4154,Radisson Paper Valley Hotel
168,Lorengau,PG,81.14,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Kavieng,PG,82.76,Clouds,-2.5744,150.7967,Nusa Island Retreat
181,Yanliang,CN,76.19,Rain,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
183,Salalah,OM,78.19,Clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
189,Ponta Do Sol,PT,77.72,Clear,32.6667,-17.1,Hotel do Campo
190,Navoi,UZ,85.48,Clear,40.0844,65.3792,Silk Road Hotel Termez
197,Marsh Harbour,BS,85.23,Clouds,26.5412,-77.0636,Abaco Beach Resort
204,Kloulklubed,PW,83.88,Rain,7.0419,134.2556,Storyboard Beach Resort
207,Lastoursville,GA,79.99,Clouds,-0.8143,12.7287,Auberge Bon Coin 02
210,San Nicolas,PH,79.68,Clouds,18.1725,120.5953,NORTHVIEW Hotel
211,Glenwood Springs,US,89.13,Clear,39.5505,-107.3248,Glenwood Springs Cedar Lodge
